title,company,location,category,description
Corporate Recruiter,Head Field Solutions Pvt. Ltd.,"Noida, Ghaziabad",HR & Recruitment Jobs,"We’re Hiring | Corporate Recruiter (Onsite – Noida) Company: Head Field Solutions Pvt. Ltd. Location: Noida (5 days onsite) Timings: 9:00 AM – 6:00 PM IST We are looking for an experienced Corporate Recruiter to join our growing team. Key Requirements: Excellent communication & stakeholder management skills Hands-on end-to-end recruiting experience Strong sourcing skills on Naukri, LinkedIn, and other job portals Proven experience in closing corporate/internal positions within defined TAT Abili…"
Data Engineer,BizAcuity,"Hyderabad, Telangana",IT Jobs,"Job Description: Data Engineer About BizAcuity BizAcuity is on a mission to help enterprises get most out of their data by providing Business Intelligence and Data Analytics services, product development and consulting services for clients across globe in various domains / verticals. Established in 2011, by a strong leadership team and a team of 200 engineers, we have made a mark as a world class service provider and compete with large service providers to win business. BizAcuity has developed …"
Designer Site Coordinator,Woods Worth Industries,"Chennai, Tamil Nadu",Trade & Construction Jobs,"About Us We are a growing interior solutions company specializing in modular kitchens, wardrobes, and customized storage solutions . Our team is passionate about delivering premium quality work with precision and on-time execution. Role Overview We are looking for a proactive and detail-oriented Site Coordinator to oversee modular kitchen and wardrobe installations. The ideal candidate will ensure smooth site execution, coordinate with clients, suppliers, and the installation team, and maintain…"
Advanced SEO Specialist (Authority & DA Growth Focus),Digital Ellanky,"Hyderabad, Telangana","PR, Advertising & Marketing Jobs","1️⃣ Implement an 80/20 SEO strategy — 20% foundational SEO, 80% advanced authority-building techniques. 2️⃣ Build high-quality guest post backlinks (DR 50–90) using allocated premium budgets. 3️⃣ Increase Domain Authority (DA) & Page Authority (PA) by 20 within 12 months with proven strategy. 4️⃣ Execute advanced topical authority building using pillar-cluster content models. 5️⃣ Perform competitor backlink gap analysis and replicate high-value link opportunities. 6️⃣ Implement strategic intern…"
Remote Software Engineer (Ruby),Turing,"Delhi, India",IT Jobs,"About the projects: We are building LLM evaluation and training datasets to train LLM to work on realistic software engineering problems. One of our approaches, in this project, is to build verifiable SWE tasks based on public repository histories in a synthetic approach with human-in-the-loop; while expanding the dataset coverage to different types of tasks in terms of programming language, difficulty level, and etc. About the Role: We are looking for experienced software engineers (tech lead …"
Image Review Intern,Technoville Consultants,"Ahmedabad, Gujarat",IT Jobs,"Please note: This is a temporary opportunity until project completes Basic understanding of copyright and image licensing Knowledge of royalty-free / Creative Commons images Good internet research skills Basic knowledge of image sourcing websites (e.g., stock photo platforms) Attention to detail Basic understanding of website content management Ability to replace and upload images correctly Familiarity with Google Search techniques Basic knowledge of Canva / Photoshop (for resizing or editing) …"
Senior Associate - Corporate Communications,CoinSwitch,"Bangalore, Karnataka","PR, Advertising & Marketing Jobs","Know the Company : PeepalCo is a canopy for brands serving India with tailored wealth-tech products, Making Money Equal for All. Founded by Ashish Singhal, Govind Soni, and Vimal Sagar Tiwari, PeepalCo's products include CoinSwitch and Lemonn. The Group is backed by blue-chip investors including Andreessen Horowitz (a16z), Tiger Global, Peak XV Partners (formerly Sequoia Capital India), Ribbit Capital, Paradigm, and Coinbase Ventures. PeepalCo is the brand name for our Group entity and will hou…"
ServiceNow Developer,Tenth Revolution Group,"Bangalore, Karnataka",IT Jobs,"Hiring: ServiceNow Developer (Senior Associate) Location: Hyderabad and Bangalore Employment type: Perm We are looking for a ServiceNow Developer to join a consulting-led environment, supporting enterprise ServiceNow implementations across one or more modules: ITSM, ITOM, HRSD, or SPM. This is a permanent role based in Hyderabad or Bangalore, suited for candidates who enjoy hands-on development and working closely with stakeholders. What You’ll Do Design, develop, and deliver ServiceNow solutio…"
"Sr Engineer, Software",TMUS Global Solutions,"Hyderabad, Telangana",IT Jobs,"About the Role: The Software Engineer will contribute to the development and enhancement of Magenta PulseT-Mobiles digital front door platformby building scalable solutions using Adobe AEM, microapps, and cloud-native microservices. This role involves developing AEM components, front-end features, and backend services while ensuring performance, maintainability, and reliability. The engineer collaborates with product, architecture, and UX teams to translate requirements into effective technical…"
Application Specific Integrated Circuit Design Engineer,ACL Digital,"Hyderabad, Telangana",Engineering Jobs,"ASIC/SOC Front End Design Engineer Job description: 1. Setup ASIC QA flows for RTL design quality checks. 2. Understand the design: top level interfaces, clock structure, reset structure, RAMs, CDC boundaries, power domains. 3. Running Lint, Synthesis, LEC, Static timing analysis, CDC, RDC, DFT, CLP steps. 4. Come up with clock constraints, false paths, multi-cycle paths, IO delays, exceptions and waivers. 5. Checking the flow errors, design errors & violations and reviewing the reports. 6. Deb…"
PLM Process Consultant,Capgemini Invent,India,Consultancy Jobs,"PLM Process Consultant Location - PAN India Role Description The role involves consulting with clients to improve their product lifecycle processes, managing and optimizing business processes, research and develop new use cases & assets to explore digital continuity opportunities with client and also to involve on business development activities. The consultant is expected to be well versed functionally in Product Lifecycle Management methodology and related tools (PLM) tools, support system in…"
Founding CTO,MindoraXai Labs,"New Delhi, Delhi",IT Jobs,"Company Description MindroaxAI is a forward-thinking artificial intelligence company dedicated to creating scalable, secure, and practical AI solutions tailored for business applications. The company wants to specialize in AI Calling Agents, Computer Vision, advanced SAP data analysis, and Private Large Language Models (LLMs) to help organizations enhance decision-making, automate operational processes, and make data privacy a priority. Guided by a mission to generate measurable business value,…"
Product Manager,Cog Culture,India,IT Jobs,"About Us We are a full-service marketing communications agency with over a decade of experience crafting impactful brand narratives. Backed by a 100 member team, we work across diverse sectors and have been recognized as the No.1 Independent Integrated Agency at the Goafest Creative Abby Awards and Design Agency of the Year 2023. Our work has also earned international honours, including Gold at the Golden Award of Montreux, along with multiple leading digital awards. Beyond creativity, we build…"
Head - Marketing and Strategy,Eruvaka Technologies,"Hyderabad, Telangana","PR, Advertising & Marketing Jobs","Purpose of the job: Head Marketing and Strategy is responsible for developing, executing, and optimizing long-term strategies that drive brand growth, market penetration, new geographies, species and revenue. This role focuses on market analysis, customer insights, positioning, and cross-functional alignment to ensure marketing/strategy efforts support overall business objectives and growth. Role and Responsibilities Strategic Marketing: • Deriving insights from Market intelligence across OpCos…"
SAP FSCM CONSULTANT,Capgemini,"Delhi, India",IT Jobs,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you’d like, where you’ll be supported and inspired by a collaborative community of colleagues around the world, and where you’ll be able to reimagine what’s possible. Join us and help the world’s leading organizations unlock the value of technology and build a more sustainable, more inclusive world. Your Role Implement SAP Financial Supply Chain Management (FSCM) functionalities. Consult on c…"
Data Engineer,"Enterprise Minds, Inc","Hyderabad, Telangana",IT Jobs," Hiring: AI Data Engineer  Location: Hyderabad  Experience: 2–3 Years  Employment Type: Full-Time We are looking for a passionate AI Data Engineer with 2–3 years of experience in building scalable data pipelines and supporting AI/ML initiatives. The ideal candidate should have strong data engineering fundamentals and exposure to machine learning workflows.  Key Responsibilities: Design, build, and maintain scalable data pipelines Work closely with Data Scientists to deploy ML models Process str…"
Walkin Drive_ 31st Jan_ Java FSD_Hyderabad_ LTIMindtree.,LTIMindtree,"Hyderabad, Telangana",IT Jobs,"Dear Candidate, I hope this email finds you well. We are pleased to inform you about an exciting opportunity for a Java Full stack Developer with 6 years of experience at our company, located in Hyderabad Walkin Drive: 31st Jan Saturday Experience: 6 Years (Mandatory exp 5) Notice Period: immediate to 30 Days Location: Hyderabad Location: Will share the details along with the call letters Requirements: Must Have Skills: - Java 8 ( 5 years minimum hands-on experience in Java 8 or above) - Spring…"
Assistant Professor,Shoolini University,"Solan, Himachal Pradesh",Scientific & QA Jobs,"Job Title: Assistant Professor- Inorganic Chemistry Department: School of Advanced and Chemical Sciences We are inviting applications for the position of Assistant Professor ( Inorganic Chemistry ) in the School of Advanced and Chemical Sciences. The ideal candidate should hold a PhD in Inorganic Chemistry and demonstrate excellence in research, teaching, and academic development. Key Responsibilities: Research & Innovation: Establish an independent and externally funded research program. Gener…"
Security Architect,Lorven Technologies Inc.,India,IT Jobs,"Job Description: Security Architect Role Overview: Responsible for designing and governing security architecture across core banking, payments, trade finance, APIs, and cloud platforms. Key Responsibilities: • Design security architecture for API development & integration, ensuring secure authentication, authorization, and data exchange. • Provide security oversight for core banking platforms including Finacle. • Secure payment platforms such as Global Pay Plus (GPP) or Volante. • Lead security…"
Senior Frontend Developer,SuperOps,"Chennai, Tamil Nadu",IT Jobs,"SuperOps is a SaaS start-up empowering IT service providers and IT teams around the world with technology that is cutting-edge, future-ready, and powered by AI. We are backed by marquee investors like Addition, March Capital, Matrix Partners India, Elevation Capital, and Tanglin Venture Partners. Founded by Arvind Parthiban, a serial entrepreneur, and Jayakumar Karumbasalam, a veteran in the IT space, SuperOps is built on the back of a team of engineers, product architects, designers, and AI ex…"
Lab Instructor in Mechanical Lab Workshop .,Invertis University,India,Healthcare & Nursing Jobs,"Urgently Required Urgent hiring of Lab Instructor in Mechanical Lab Workshop. Qualification- Graduate - B. Tech /Diploma in Mechanical Engineering Experience - 0-2 years Roles and Responsibilities . Ability to perform the laboratory test (UTM, Lathe Machine, Sheet Metal Operations etc.) including pre and post data analysis. Ability to repair/maintenance of experimental equipment's. Ability to keep up the record and maintain the stock register. Ability to adhere correct procedures and safety sta…"
RMM Engineer,Innovation Technology By Design,"Chandigarh, India",IT Jobs,"Department: Service Delivery Work Model: Work from Office Shift: EST Hours We are seeking a skilled RMM Engineer with hands-on experience in Automate / Datto RMM / Kaseya tools to support remote monitoring, management, and automation of IT environments. The role requires strong troubleshooting skills, scripting expertise, and the ability to configure, manage, and optimize RMM platforms for efficient IT operations. The ideal candidate will have a customer-centric mindset, strong communication sk…"
Senior Media Manager,DViO Digital,India,"PR, Advertising & Marketing Jobs","Role Overview We’re looking for a data-driven, platform-savvy Senior Media Manager who can independently lead large-scale performance campaigns, manage high-value client accounts, and drive measurable business outcomes. This role demands deep expertise across Meta, Google, and full-funnel media planning, along with strong client communication, analytical thinking, and leadership capability. Prior experience in a digital marketing agency is highly preferred , as this role requires managing multi…"
Lead Full Stack Engineer (Multi Agent Systems),Accellor,"Hyderabad, Telangana",IT Jobs,"About Accellor Accellor is a trusted AI and digital engineering partner helping enterprises build scalable, outcome-driven solutions using modern cloud, data, and AI technologies. We work across Financial Services, Retail, High Tech, and Healthcare, combining deep domain expertise with strong engineering and applied AI capabilities to deliver measurable business impact. Role Overview We are looking for a highly experienced Lead Software Engineer who is a strong Full Stack Engineer at core and h…"
3D Visualizer,Phase 1 Events and Experiences,"Bangalore, Karnataka",Creative & Design Jobs,"Job Title: Senior 3D Visualizer Experience – 5 years Position Objectives: Creating innovative 3D renditions as required by the project Visualize and effectively communicate 3D concepts to the end user Ensure design output for all projects is delivered on time and within quality guidelines Roles and Responsibilities: Taking a brief, exploring ideas and themes, to developing a fully rendered model Should be able to conceptualize a 2D rendering viaa written brief form client to envisage a complete…"
Identity Management Consultant,IntraEdge,"Bangalore, Karnataka",IT Jobs,"Skills: IAM, PAM, AWS, Kubernetes, CI/CD, Python, GitHub and Terraform, tools like Kubernetes, Docker, RedHat OpenShift Experience: 6 years Details Build and manage secure and compliant cloud-based access controls and solutions with a focus on IAM and PAM. Implement and manage least privilege for just-in-time access, session management and identity lifecycle management. Independently perform risk assessments and security audits and recommend appropriate security controls and improvement. Hands …"
Content Developer (K-5),Extramarks,"Noida, Ghaziabad",Sales Jobs,"Company: Extramarks Education Role: Content Developer (K–5) Location: Noida Employment Type - Contract (Starting with 6 Months) We are looking for Content Developers for the K–5 segment in English - K5 & K12 Mathematics - K5 EVS - K5  What you’ll do: Develop, review, and curate high-quality digital content. Design engaging storyboards, activities, and assessments. Collaborate with SMEs and internal teams to build impactful learning solutions.  What we’re looking for: 5 years of experience in di…"
Quality Engineering Manager [T500-23165],CIBC India,"Hyderabad, Telangana",IT Jobs,"About CIBC India: CIBC India is a technology and operations hub in Hyderabad, where you’ll be part of our highly engaged and global team, and play a central role in supporting our growth. Whether you’re driving innovation in digital banking or streamlining client onboarding, you’ll be part of a culture recognized for excellence and investment in people. At CIBC India, people and progress are at the center of what we do: you’ll develop skills, collaborate with industry leaders, and see your idea…"
Medical Sales Representative,Wilson Drugs & Pharmaceuticals Pvt. Ltd,"Hisar, Haryana",Sales Jobs,"Company Description Wilson Drugs & Pharmaceuticals Pvt. Ltd., founded in 1971 by Vaid Sh. Piyara Lal Madan, is a GMP-certified leader in the production of high-quality Ayurvedic and herbal products in India. The company emphasizes research and development to create innovative, natural-origin products targeting key health segments. Based in Himachal Pradesh, its state-of-the-art manufacturing facility is equipped with advanced technology and supported by a skilled team of researchers, pharmacist…"
Frontend Developer,AdMax Local,"Bangalore, Karnataka",IT Jobs,"Position : Front End Developer Location: Bengaluru, India About Us : How would you like to work for a fast-growing, international company in one of the hottest spaces on the Internet? AdMax Local is the world's first fully automated SEM, Social and website platform that enables resellers to price, build, manage, optimize and report on high quality, hyper-local search campaigns and websites for multiple businesses at scale. Available in the European and Asian Pacific markets since 2009 AdMax Loc…"
Team Leader (B2B Upselling / Customer Service),TP,India,Accounting & Finance Jobs,"We are looking for dynamic team leader who can manage B2B customer service and drive business growth. Responsibilities Manage business clients, Partners or sellers. Track and improve KPI's Revenue per count, CSAT, SLA, Productivity and quality score. Work closely with clients to improve account performance. Team coaching on Sales-Through-Service approach. Drive revenue growth from existing business account. Lead a team handling B2B (customer service/ Seller Support). Qualifications 1 Exp as Tea…"
Senior Admission Counsellor- Study Abroad,upGrad,"Noida, Ghaziabad",Teaching Jobs,"JOB SCOPE A successful Admission Profiler excels in initiating contact with potential leads, thoroughly qualifying them, and cultivating genuine interest and necessity in upGrad’s programs and offerings. As an Admission Profiler you will serve as the vital link between upGrad’s potential learners and our Admission Counsellors. Your primary objective is to establish a meaningful connection with the learner, understand their requirements, and effectively arrange Video Counselling [VC] sessions wi…"
Director - SCM Consulting,Mindsprint,"Bangalore, Karnataka",IT Jobs,"The role is for a leader of Supply Chain Consulting area of our Business transformation Consulting group. This senior leadership role requires a dynamic professional with deep domain expertise across the Plan, Source, and Deliver segments of the supply chain. The Associate Director will be responsible for driving consulting engagements end-to-end, including delivery, presales, and sales activities, ensuring high-impact outcomes for our clients. Responsibilities Consulting Delivery: Oversee and …"
FIX Client Onboarding Engineer,"Kotak Securities Limited, Mumbai",India,IT Jobs,"Overview Kotak Institutional Equities (KIE) is a market-leading institutional research and broking platform in India, recognized for its strong fundamentals-driven research, deep sector coverage, and long-standing institutional relationships. KIE, a Kotak Mahindra Group company, leverages strong analytics, corporate access, and advanced technology platforms to drive research, analytics, and client engagement at scale. The firm is known for its independent approach, excellent governance, and ski…"
Import Export Executive,Gopani Product Systems Pvt Limited,"Ahmedabad, Gujarat",Logistics & Warehouse Jobs,"Designation- Import - Export Executive Location: Ahmedabad Experience: 2-3 years CTC Range: ₹30K–₹35K/month (as per experience & expertise). Key responsibilities • Plan and execute import/export shipments end-to-end: booking, pickup, stuffing, dispatch, clearance, delivery. • Prepare/check documents: commercial invoice, packing list, purchase order, BL/AWB, shipping bill, bill of entry, COO, insurance, test/inspection docs (as applicable). • Coordinate with CHA/customs broker, freight forwarder…"
Design Engineer - Aero Structures,Capgemini Engineering,"Bangalore, Karnataka",Engineering Jobs,"Structural Design Engineer Location: Bangalore Experience: 4-8 Years Choosing Capgemini means choosing a place where you’ll be empowered to shape your career, supported by a collaborative global community, and inspired to reimagine what’s possible. Join us in helping Airbus and other leading aerospace clients design safe, efficient, high‑performance airframe structures through advanced stress analysis and engineering excellence. Your Role As a Structures Design Engineer, you will be responsible…"
SAP BTP,Mount Talent Consulting Pvt Ltd.,"Bangalore, Karnataka",IT Jobs,"Project Role : Custom Software Engineer Project Role Description : Design, build and configure applications to meet business process and application requirements. Must have skills : SAP BTP Application Development Good to have skills : NA Minimum 12 year(s) of experience is required Educational Qualification : 15 years full time education Summary: As an Application Developer, you will design, build, and configure applications to meet business process and application requirements. Your typical d…"
Strategic Sales Executive,MSX International,"Chennai, Tamil Nadu",Sales Jobs,"What is the role? As ‘Strategic Sales Executive’, you will head all business engagements with some strategic clients in the automotive industry. You will be expected to: Set a vision for New Sales in the respective market/region/accounts. Envision New BusinessOpportunities and meet prospective clientsin the market Bring New Sales and contribute to topline growthof the organization What are the responsibilities? As ‘Strategic Sales Executive’, you will take full ownership of the New Sales in you…"
C#SDET,Concentrix,"Bangalore, Karnataka",IT Jobs,"Job Description: 1.4-6 years of hands on experience in in API Automation. C# 2. Hands on in testing LLM application. tools experience like Deepeval and RAGAS AI 2. Minimum 2 years of hands on experience in testing of APM Indsustrial applications 4.Candidate should have ability to understand Ware House, Indusrtial operational problems and its impact on the business 5.Candidate should have good analytical skills - should be able to understand the requirements and related them to production issues…"
Flutter Developer,webol,"Mumbai, Maharashtra",IT Jobs,"We are looking for a highly skilled Flutter Developer to join our team and lead the development of high-performance mobile and web applications. This is an Individual Contributor role where you will work closely with project managers, quality analyst, backend and frontend teams to build seamless, scalable, and user-friendly apps using Flutter. The ideal candidate is proactive, detail-oriented, and passionate about delivering top-quality digital experiences. Working Hours: 10:30 am to 7:30 pm In…"
Legal Entity Controller,Kenvue,"Bangalore, Karnataka",Accounting & Finance Jobs,"The Legal Entity Controller role primarily oversees the legal entity (LE) financial reporting process, ensuring the integrity and precision of the LE financial statements, tax filings, reporting packages, and other relevant reports. Responsibilities will include streamlining month, quarter, and year-end closings within established timelines, handling high importance/complex items during entity closings, and managing local audits. The position requires interaction with Business Unit (BU) Finance…"
"Senior System Engineer Middleware - IBM MQ Series, RabbitMQ, Omegamon for MQ",ArcelorMittal Global Business & Technologies,"Hyderabad, Telangana",IT Jobs,"Senior System Engineer – Middleware Technology Global Capability Center (GCC) – Hyderabad, India Role Details Position: Senior System Engineer – Middleware Location: Hyderabad, Telangana, India Department: Global Technology Services (or relevant department) Reports To: Head of Infrastructure Supervisory Role: No 1. Purpose of the Role ArcelorMittal is looking for a Senior System Engineer – Middleware with more than 7 years of experience , working in close collaboration with internal and externa…"
Human Resources Specialist,Unique World Robotics,"Kochi, Ernakulam",HR & Recruitment Jobs,"UWR is seeking an experienced and proactive HR specialist to lead end-to-end human resource operations and build a strong, compliant, and people-centric HR function. This role demands a hands-on HR leader who can balance strategic direction with day-to-day execution, ensuring robust governance, high employee engagement, and scalable HR systems aligned with UWR’s business objectives. The HR Manager will play a critical role in supporting organizational growth, strengthening culture, and enabling…"
Associate Manager - Channel Sales,greytHR,"Rajasthan, India",Sales Jobs,"About GreytHR GreytHR Software is India’s leading HR and payroll software company. With a customer base of over 23,000 customers, we touch the lives of more than 2 Million employees daily. The platform offers 40 tools in areas like core HR, payroll, leave and attendance, statutory. compliances, expense claims, employee self-service and much more. Headquartered in Bangalore, India, GreytHR has branches in Mumbai, New Delhi, Chennai , Hyderabad, Pune, and Dubai. Role Overview : The Channel Manage…"
Senior Engineer II- Java- DTL,lululemon India Tech Hub,"Bangalore, Karnataka",IT Jobs,"Senior Engineer II Back End Who we are: lululemon is an innovative performance apparel company for yoga, running, training, and other athletic pursuits. Setting the bar in technical fabrics and functional design, we create transformational products and experiences that support people in moving, growing, connecting, and being well. We owe our success to our innovative product, emphasis on stores, commitment to our people, and the incredible connections we make in every community we're in. As a c…"
Principal DevSecOps Engineer/Cloud Platform Architect/ Principal DevOps Engineer,FICO,"Bangalore, Karnataka",IT Jobs,"The Opportunity As a Principal DevSecOps Platform Engineer, you will lead the design, implementation, and evolution of our cloud-native platform infrastructure. This role will be instrumental in building and maintaining scalable, resilient systems that empower our engineering teams to deliver innovative solutions rapidly and reliably. The ideal candidate will bring deep technical expertise in modern platform engineering practices, DevOps methodologies, and infrastructure automation. What you’ll…"
Scrum Master,HME,"Bangalore, Karnataka",IT Jobs,"Scrum Master: Facilitator and Coach for Agile Scrum Software Development Teams at HME India Position Overview: HME India is seeking a motivated and collaborative Scrum Master to join our team and lead 2-3 agile scrum software development teams. The ideal candidate will have 3-6 years of hands-on experience in a Scrum Master role, demonstrate strong interpersonal skills, and possess the ability to work independently. As the lead facilitator for all scrum ceremonies, you will play a critical role…"
Vice President - Site Reliability Engineering & AI Ops,Talent Toppers,India,IT Jobs,"Experience - 15 Years The Vice President – AIOps and System Reliability Engineering is a visionary technology leader responsible for driving the strategy, automation, and transformation of the enterprise IT operations landscape. · Strategic & Autonomous Operations Leadership o Define and execute a long-term strategy for Agentic AI, autonomous operations, and AI driven service management. o Build and operationalize an enterprise-wide framework for Autonomous IT Operations ( AIOps ), ensuring sea…"
Senior Test Engineer,QualiZeal,"Hyderabad, Telangana",IT Jobs,"Job Summary: Location: Hyderabad Shift Timings: 2:00 PM – 11:00 PM; work-from-home may be permitted depending on circumstances. The role of a Software Automation Tester involves extensive software QA technical expertise to join our dynamic QA team. This role involves designing, developing, and maintaining test scripts and automation Frameworks. The ideal candidate should have strong experience in Selenium with Java along with a deep understanding of UI, API and Database automation environments.…"
Senior Security Engineer,Momentive Software,India,IT Jobs,"We are seeking a highly experienced Secure SDLC (SSDLC) professional with 10 years of experience to lead and embed security across the entire software development lifecycle. The role involves defining security standards, integrating security controls into CI/CD pipelines, performing advanced threat modeling, and mentoring engineering teams to build secure, resilient applications at scale Key Responsibilities SSDLC & Security Governance Define, implement, and continuously improve Secure SDLC fra…"
Manager - Business Analyst - Payments Domain,MUFG Global Service ,"Pune, Maharashtra",IT Jobs,"About Us: MUFG Bank, Ltd. is Japans premier bank, with a global network spanning in more than 40 markets. Outside of Japan, the bank offers an extensive scope of commercial and investment banking products and services to businesses, governments, and individuals worldwide. MUFG Banks parent, Mitsubishi UFJ Financial Group, Inc. (MUFG) is one of the worlds leading financial groups. Headquartered in Tokyo and with over 360 years of history, the Group has about 120,000 employees and offers services…"
Real Estate- Luxury Sales,NoBroker.com,"Mumbai, Maharashtra",Sales Jobs,Designation- Sales Manager- Luxury Sales Work Location: Vile Parle Salary Range upto 10- 15LPA Incentive Looking for a candidate with 4- 8 years experience in Real Estate Sales with good communication skills. Summary : We are looking for a Sales Manager to independently close luxury real estate deals. You will handle HNI leads and manage the full sales cycle—from client interaction to deal closure—without pre-sales support. This is a target-driven role with direct involvement in driving busines…
Systems Engineer II,Astrogate Labs,"Bangalore, Karnataka",Engineering Jobs,"Duration: Full-time Location: Sahakarnagar, Bengaluru Qualification: BE/BTech or Masters in Aerospace, Electronics, Electrical, or related engineering discipline, 2 years of experience in systems engineering for hardware products (aerospace, defense, robotics, or similar complex systems preferred) Job Responsibilities • System Architecture & Integration: Define system requirements, interface specifications, and integration strategies for laser communication terminals across terrestrial, airborn…"
Executive Assistant (Fresher),Anand Rathi Wealth Limited,India,Consultancy Jobs,"Job Location - Pune, Shivajinagar CTC Offered - 4 to 4.5L Notice Period - Immediate to 15 days joiners would be Preferred Job Type - Full Time Work from Office Job Description:- 1. Calendar Management 2. Travel Management 3. Client Management (Coordinating the meeting, Creating MOMs, etc) 4. Managing/Collating different Data of the team 5. Any other work as per the requirement of the Executive Director 6. Fixing meetings with prospective clients and assisting RM in acquiring new clients. 7. Pre…"
STA Engineer,Proxelera,"Bangalore, Karnataka",Engineering Jobs,About Proxelera: Proxelera is India’s premium chip and system software product engineering partner. Our engineers take extreme passion in your assignments and deliver through their years of high quality experience to make your product successful. We understand the challenges of all aspects of product engineering – right from design planning stage to post silicon work. We also offer you unparalleled quality of service in productization of your chip through reference system design and system soft…
